preprocessing,label,class_name,entropy,sobel_edge_energy,mean_intensity,std_intensity
raw,1,tumor,6.9385488185487905,0.479543165499132,0.36630598,0.3026523
raw,1,tumor,6.797765217136229,0.647549007929756,0.39542165,0.2170149
raw,1,tumor,6.140713103043323,0.2521795318746166,0.1741266,0.15420634
raw,0,no_tumor,4.60983662329542,0.47384799545310347,0.21256584,0.32234016
raw,1,tumor,5.937826526304593,0.42765632298716927,0.1745103,0.20171766
raw,0,no_tumor,4.671302973046264,0.3990792905937661,0.21973017,0.26199555
raw,0,no_tumor,5.850076044482346,0.36110470268137895,0.18811134,0.22173667
raw,0,no_tumor,5.435012664845674,0.2925146017526937,0.1890728,0.16481717
raw,1,tumor,5.149841949997148,0.9164371021729909,0.22214642,0.26962093
raw,1,tumor,6.708973851211484,0.5652551322807822,0.33233714,0.22681972
raw,0,no_tumor,6.2517076173999175,0.39588817952668864,0.17181063,0.16182037
raw,1,tumor,6.5999925893664,0.572385328673696,0.270779,0.22371972
raw,0,no_tumor,4.82158475768304,0.5916318448905843,0.14447165,0.18373136
raw,1,tumor,5.903846926537394,0.34615679184650533,0.20607167,0.16082408
raw,1,tumor,6.3049414681177876,0.45782712753367716,0.22629061,0.18605766
raw,0,no_tumor,5.526920144190713,0.8057402754470253,0.29853088,0.3189963
raw,1,tumor,6.577988009857478,0.40040202504811195,0.19920823,0.18073043
raw,1,tumor,6.566792493118146,0.3414410262681299,0.21390072,0.14864936
raw,0,no_tumor,6.501801719779346,0.6143992774829855,0.28050202,0.25009906
raw,1,tumor,7.323038818384701,0.8076445448666585,0.42437148,0.25958464
raw,1,tumor,6.7515050098894225,0.5143585560337794,0.33425558,0.24158728
raw,0,no_tumor,4.247481777691847,0.7308109251267371,0.16423652,0.23229098
raw,0,no_tumor,5.396412781088247,0.2796012560268393,0.11612693,0.14158604
raw,1,tumor,6.121061824705042,0.42376027318444487,0.23245491,0.18938498
raw,1,tumor,5.1483179313900305,0.34834269003061613,0.17648184,0.21872404
raw,1,tumor,7.477451096542373,0.8050366078389882,0.37908626,0.2705374
raw,0,no_tumor,4.642447630470632,0.4205421070682305,0.13739061,0.18080714
raw,0,no_tumor,7.061665183696565,0.6165731338679923,0.47025004,0.19449073
raw,0,no_tumor,6.02456970040077,0.6108563744678324,0.29453173,0.2642355
raw,1,tumor,7.721548038469674,0.6986023532731763,0.56373626,0.24319527
raw,0,no_tumor,6.0859072079226495,0.8457194246669437,0.20894751,0.2674933
raw,0,no_tumor,5.494883819143629,0.47543515962020505,0.21796253,0.20217271
raw,0,no_tumor,6.186334264018137,0.33267179500232985,0.22314501,0.20247985
raw,1,tumor,6.377493248439625,0.3413815075980747,0.23601004,0.17802306
raw,0,no_tumor,6.188564266287001,0.3328391262070622,0.1696696,0.15612341
raw,0,no_tumor,5.947972433041416,0.41508153070835363,0.14209321,0.16459712
raw,1,tumor,6.056629543442455,0.5238413550463955,0.2811923,0.26388305
raw,0,no_tumor,5.1097756834204,0.4273846176864483,0.18413302,0.1881812
raw,1,tumor,6.84014289302763,0.3766889923374698,0.26931295,0.22500339
raw,0,no_tumor,5.793180581690769,1.0780783360918496,0.26447517,0.25041118
raw,1,tumor,5.760541060870365,0.23237562986118554,0.19307122,0.19175556
raw,0,no_tumor,5.188019271868649,0.28709508945733286,0.119420916,0.1406594
raw,1,tumor,6.498680199510838,0.3304975885519315,0.20749298,0.18937223
raw,1,tumor,6.588299537722688,0.8253195360053793,0.33304083,0.24591102
raw,1,tumor,6.3049414681177876,0.45782712753367716,0.22629061,0.18605766
raw,0,no_tumor,5.512077456089572,0.37539065732370924,0.12071893,0.18594015
raw,0,no_tumor,5.4181159297492965,0.25625134431913227,0.11631387,0.13889137
raw,1,tumor,6.514979563828101,0.35463292674414126,0.26594526,0.21587615
raw,0,no_tumor,3.9432415365614335,0.22805384777061746,0.154873,0.20457436
raw,1,tumor,6.262517429057674,0.7277748876823197,0.365507,0.3180319
raw,0,no_tumor,4.400569917965207,0.5079178322827291,0.1196945,0.18733206
raw,0,no_tumor,6.889923287970719,0.767697125408636,0.27096882,0.22267343
raw,1,tumor,6.616663291058289,0.908732728282907,0.299011,0.27168396
raw,1,tumor,6.9905310176099205,0.3295251092563972,0.24281438,0.19738175
raw,1,tumor,5.015081726415108,0.3416657807659887,0.18563329,0.17568016
